Rank,First_Name,Last_Name,YOB,NOC,TotalPoints,EvsCurr,EvsPrev,PtsCurr,PtsPrev
375,Maximilian,Sperl,1994,GER,238.91,2,3,221,18
376,Wan Hyuk,Kim,1996,KOR,237.1,5,0,237,0
377,Nicolas,Harvey,2002,CAN,236.67,4,1,215,22
378,Juan,Gonzalez Garcia,2002,ESP,236.05,5,1,218,18
379,Léo,Fernandez,2003,FRA,235.32,3,0,235,0
380,Andrew,Trouard,1994,USA,235.28,4,0,235,0
381,João Nuno,Batista,2005,POR,234.81,3,1,173,62
382,Silas,Schmitt,2001,GER,229.09,5,1,221,8
383,Jack,Crome,2004,AUS,226.97,5,1,215,12
384,Youssef,El Moutaouakil,1999,MAR,226.49,2,0,226,0
385,Valdemar,Solok,2001,DEN,224,1,4,193,31
386,Blake,Harris,2004,CAN,222.95,4,0,223,0
387,Artjoms,Gajevskis,2000,LAT,219.7,5,2,215,4
388,Saud,Alzaabi,1988,UAE,217.38,2,0,217,0
389,Gjalt,Panjer,2002,NED,217.14,2,6,96,121
390,Ivan,Abele,2003,NZL,216.63,4,2,175,41
391,Alexandre,Nobre,1994,POR,215.24,3,6,96,119
392,Adnan,Zaki,2004,SYR,215.18,2,0,215,0
393,Jonathan,Oakey,2000,IRL,213.46,4,0,213,0
394,Alexandre,Leblanc,2003,CAN,212.41,4,0,212,0
395,Pablo,Isotton,2004,FRA,212.33,2,0,212,0
396,Yael Vladimir,González Melendez,2003,MEX,209.97,2,0,210,0
397,André,Dias,1996,POR,209.69,4,3,186,23
398,Cameron,Main,1999,GBR,208.24,0,6,0,208
399,Christiaan,Stroebel,2001,RSA,206.68,0,4,0,207
400,Charlie,Quin,1995,AUS,206.15,1,4,7,199
401,Omar,Ali,2000,BRN,206.07,2,0,206,0
402,Abdallah,Abushabab,1997,PLE,205.64,2,0,206,0
403,Joris,Basslé,1999,BEL,205.09,4,4,152,54
404,Miguel Angel,Márquez Alemán,1991,MEX,203.25,3,1,178,25
405,Ismael,Sosa,2001,URU,202.9,3,0,203,0
406,Abdulaziz,Alduaij,2001,KUW,201.08,2,0,201,0
407,Diego Alejandro,Lopez Acosta,1997,MEX,201.07,1,4,89,112
408,Tiago,Fonseca,1999,POR,200.62,5,5,136,64
409,Thomas,Hansmaennel,2004,FRA,200,1,0,200,0
410,Baptiste,Passemard,2001,FRA,199.8,2,4,60,139
411,Abdulrahman,Mubarak,2002,BRN,199.05,2,0,199,0
412,Yunxiang,Ma,2003,CHN,198.36,2,0,198,0
413,Oliver,Batista,2005,PAN,195.98,3,0,196,0
414,Nicolò,Ragazzo,1999,ITA,195.36,5,1,181,14
415,Armin,Angerjärv,1999,EST,194.52,5,0,195,0
416,Rico,Bogen,2000,GER,193.97,3,3,139,55
417,Lukas,Prokopavicius,2001,LTU,192.32,4,2,175,17
418,Luke,Scott,2001,NZL,191.74,4,0,192,0
419,Jimmy,Lund,1999,GBR,189.63,3,1,150,39
420,Ognjen,Stojanovic,1990,SRB,188.55,2,4,134,55
421,Kevin,Vabaorg,1998,EST,188.09,3,3,143,45
422,Niels,Van Lanen,2003,NED,188.02,3,2,157,31
423,Janne,Büttel,2002,GER,187.8,5,1,161,27
424,Ryan,Lund,1998,USA,187.07,5,1,149,38
425,Aurelien,Jem,1996,FRA,186.62,3,0,187,0
426,Tristen,Jones,2001,CAN,185.91,3,2,169,17
427,Raul Alberto,Ruiz Valenzuela,2000,MEX,184.8,2,3,96,88
428,Yujia,Tong,1998,CHN,183.31,3,0,183,0
429,Euan,De Nigro,2004,ITA,181.79,2,1,172,9
430,Jeisson Leonardo,Fierro Calderon,2001,COL,181.52,3,0,182,0
431,Jakob,Medved,2002,SLO,180.95,3,0,181,0
432,Diego Alejandro,Gomez Melgar,2000,GUA,180.93,3,0,181,0
433,Jaehyeon,Jo,1999,KOR,180.27,6,0,180,0
434,Diego,Lucero,2003,PAN,178.6,3,0,179,0
435,Oliver,Janny,2000,AUT,178.59,6,3,168,10
436,Reo,Ishizeki,1998,JPN,177.41,2,4,46,131
437,Lars,Holenweger,1998,SUI,175.05,2,4,48,127
438,Edgar Andrés,Bermúdez Muñoz,1999,COL,174.76,3,0,175,0
439,Melvin Rafael,Martinez Fernandez,2002,DOM,174.17,2,0,174,0
440,Ali,Rezvani,2000,IRI,173.46,1,1,95,79
441,Gerónimo,Dherete,1999,ARG,173.08,4,0,173,0
442,Andres,Gras,2004,CHI,172.78,4,0,173,0
443,Daniel,Nou,1999,SWE,170.58,4,3,151,20
444,Gonçalo,Oliveira,2001,POR,169.09,6,1,161,8
445,Nicolas,Probert Vargas,2003,MEX,169.02,3,0,169,0
446,Cesar Xavier,Criollo Matute,2003,ECU,168.73,2,2,126,43
447,Fabian,Kraft,1999,GER,167.73,3,0,168,0
448,Sage,Sulentic,2004,CAN,164.82,3,0,165,0
449,Ehab,Khallouf Darkalt,2000,SYR,164.43,2,0,164,0
450,Chia-Hao,Chang,2000,TPE,163.85,2,2,97,67
451,Rinel,Pius,1999,EST,163.65,4,0,164,0
452,Márton,Kropkó,2005,HUN,162.79,3,1,162,1
453,Andres,Hilario Morales,1999,ESP,160.96,2,2,154,7
454,Lukas,Hollaus,1986,AUT,159.54,2,3,88,72
455,David,Vega Campoverde,2004,ECU,159.38,2,1,116,43
456,Samuel Abraham,Piña Barco,2000,VEN,158.95,4,0,159,0
457,Kwangjun,Pak,1999,KOR,158.25,3,1,143,15
458,Rory,Thornhill,2002,AUS,157.53,3,0,158,0
459,Niko,Matas,2003,CRO,156.89,3,2,135,22
460,Casimir,Moine,1999,FRA,156.64,3,2,142,15
461,Fabian,Schönke,2003,GER,155.87,2,0,156,0
462,Lleyton,Wall,2002,AUS,155.27,3,1,145,10
463,Filip,Michalek,2001,CZE,155.09,3,3,85,70
464,Luke,Anthony,2004,USA,153.75,2,0,154,0
465,Petter,Ellingsbø,2000,NOR,153.22,4,2,139,15
466,Pablo,Herrera,1992,CRC,152.91,3,0,153,0
467,Yegor,Martynenko,1987,UKR,152.09,5,4,99,53
468,Tomas,Tolkunov,1998,SVK,151.28,3,2,135,17
469,Benjamin,Airey,2005,NZL,151.14,3,0,151,0
470,Oussama,Hellal Berrouane,1996,ALG,150.2,3,1,137,13
471,Christophe,De Keyser,1993,BEL,149.99,0,4,0,150
472,Gyula,Kovács,2004,HUN,149.53,3,1,147,2
473,David,Lang,2005,LUX,149.3,2,0,149,0
474,Povilas,Strazdas,1996,LTU,149.24,3,1,136,13
475,William,Nolet,2002,CAN,148.7,3,1,142,7
476,James,Kadziak,2002,POL,148.41,4,1,147,2
477,Lionel,Sanders,1988,CAN,148.13,1,0,148,0
478,Oscar,Lilja,2004,SWE,146.52,4,0,147,0
479,Peyton,Craig,2005,AUS,142.88,1,1,116,27
480,Erick,Rogoz,2001,ROU,142.01,5,2,126,16
481,Brayden,Mercer,2004,AUS,141.25,1,2,85,56
482,Brett,Saunders,1997,CAN,140.84,3,0,141,0
483,Ludovic,Séchaud,2000,SUI,140.3,4,6,70,70
484,Kamran,Khodjaev,2002,UZB,140.01,1,1,55,85
485,Luke,Burns,1998,AUS,138.06,0,3,0,138
486,Georgiy,Klimenko,1999,RUS,137.8,0,4,0,138
487,Sam,Hart,2000,GBR,137.1,3,0,137,0
488,Adoh,Doherty,1995,USA,137.08,4,1,132,5
489,Michael,Simard,2001,CAN,135.9,1,3,74,62
490,Jordan,Rieck,2003,AUS,135.55,3,1,126,9
491,Thibaud,Decurnex,1998,SUI,133.34,6,1,123,11
492,Fernando José,Casares Tan,1996,PHI,132.15,2,0,132,0
493,Yui Fung,Chan,2006,HKG,132,3,0,132,0
494,Minho,Kweon,2000,KOR,131.96,3,0,132,0
495,Hugo,Winock,2000,FRA,131.43,2,1,94,37
496,Pedro Afonso,Gaspar,1994,POR,130.58,4,0,131,0
497,Steven,López  Fuentes,2005,CRC,130.46,2,0,130,0
498,Eduardo,Blanco Mollá,2002,ESP,129.71,3,0,130,0
499,Humberto,Castañeiras Jenner,2002,MEX,128.7,4,0,129,0
499,Gabriel Joaquin,Quito Tello,2004,ECU,128.7,2,0,129,0
501,Kurt,McDonald,1999,AUS,128.07,0,4,0,128
502,Luca,Bruni,2001,ITA,127.85,2,0,128,0
503,Marcel,Walkington,1993,AUS,127.28,0,2,0,127
504,Liam,Dixon,2003,AUS,127.07,2,2,96,31
505,Junhao,Li,2002,CHN,127.06,3,0,127,0
506,Martin,Baeza Muñoz,2001,CHI,126.29,0,3,0,126
507,Arnaud,Des Boscs,1999,FRA,125.85,1,3,27,98
508,Keller,Norland,2003,USA,125.31,1,3,86,40
509,Thomas,Feldmann,2004,AUS,125.15,1,2,100,25
510,Lukas,Kollegger,1997,AUT,124.72,6,3,107,18
511,Neilan,Kempmann,2001,GER,124.07,3,0,124,0
512,Rodrigo,Probert González,2002,MEX,123.6,3,2,95,28
513,Denis,Kolobrodov,2001,RUS,123.55,0,2,0,124
514,Russell,White,1992,IRL,122.6,2,5,63,59
515,Adrian,Zgaljic,1992,CRO,121.98,2,1,111,11
516,Andy,Barros Peralta,2006,ECU,121.41,2,0,121,0
517,Caleb,Meistre,2003,RSA,120.9,2,1,99,22
518,James,Olson-Keating,2002,CAN,118.9,2,2,97,22
519,Ul,Denša,2004,SLO,117.45,4,0,117,0
519,Wilhelm,Hirsch,1998,GER,117.45,1,0,117,0
521,Jacopo,Butturini,1991,CRO,117.39,3,2,103,14
522,Sayed,Sherif,2004,EGY,117.25,2,1,105,13
523,Tuan Chun,Chang,1994,TPE,115.88,1,2,50,66
524,Issoufou,Sani Boureima,1998,NIG,114.93,1,1,96,19
525,Luca,Luberti,2002,SUI,114.79,2,2,57,58
