Rank,First_Name,Last_Name,YOB,NOC,TotalPoints,EvsCurr,EvsPrev,PtsCurr,PtsPrev
493,Gabrielė,Garbauskaite,2002,LTU,71.66,2,0,72,0
493,Katharina,Loidl,1999,AUT,71.66,2,0,72,0
495,Matilde,Silva Santos,2004,POR,71.28,1,3,52,19
496,Hannelore,Willen,2001,BEL,71.18,2,0,71,0
497,Ida,Burrows,2001,SWE,70.82,0,4,0,71
498,Mariana,Vargem,2001,POR,70.6,2,1,60,11
499,Nancy,Lojano Tepan,2001,ECU,70.5,1,0,71,0
500,Kajsa,Sophie Grønberg Christensen,2004,DEN,70.47,1,0,70,0
501,Georgie,Fredricks,2003,AUS,69.81,0,3,0,70
502,Dana,Prikrylova,2003,CZE,69.31,1,3,40,29
503,Nele,Dequae,2003,BEL,69.1,2,0,69,0
504,Maram,Elshafei,2002,EGY,68.84,1,1,50,19
505,Diana Aracely,Idrovo Leon,2002,ECU,68.63,1,0,69,0
505,Sofia Esmeralda,Solis Grimaldo,2005,CRC,68.63,1,0,69,0
507,Zahra Bulan,Aprillia Putri,2004,INA,68.28,1,0,68,0
508,Nicoletta,Santonocito,1999,ITA,67.62,1,1,43,25
509,Lili,Dobi,2004,HUN,66.45,2,2,51,16
510,Paula,Sánchez García,2003,ESP,66.36,1,3,35,32
511,Bridie,Crew,2006,AUS,65.98,1,0,66,0
511,Nathalie,Zwicky,2003,SUI,65.98,2,1,64,2
513,Anna,Goreva,2002,RUS,65.92,0,2,0,66
514,Kristiāna,Maskava,2001,LAT,65.36,2,1,63,3
515,Maruša,Klemenc,1994,SLO,64.05,2,0,64,0
516,Naomi,Ruff,2004,USA,63.67,1,1,42,22
517,Yaniuska Mared,Jimenez Arriechi,2006,VEN,63.49,1,0,63,0
518,Sidney,Clement,2005,CAN,63.44,2,0,63,0
519,Maeve,Gallagher,2001,IRL,63.16,0,6,0,63
520,Tiina,Pohjalainen,1985,FIN,62.92,1,1,46,17
521,Lucy,Evans,2005,NZL,62.58,1,0,63,0
